goals
03-09-2022 Mallorca 1 - 1 Girona
09-09-2022 Girona 2 - 1 Valladolid
18-09-2022 Betis 2 - 1 Girona
02-10-2022 Girona ? - ? Sociedad
15-08-2022 Ath Bilbao 0 - 0 Mallorca
20-08-2022 Mallorca 1 - 2 Betis
27-08-2022 Vallecano 0 - 2 Mallorca
03-09-2022 Mallorca 1 - 1 Girona
11-09-2022 Real Madrid 4 - 1 Mallorca
17-09-2022 Mallorca 1 - 0 Almeria
01-10-2022 Mallorca ? - ? Barcelona
12-08-2022 Osasuna 2 - 1 Sevilla
20-08-2022 Osasuna 2 - 0 Cadiz
26-08-2022 Betis 1 - 0 Osasuna
04-09-2022 Osasuna 2 - 1 Vallecano
12-09-2022 Almeria 0 - 1 Osasuna
18-09-2022 Osasuna 0 - 2 Getafe
02-10-2022 Real Madrid ? - ? Osasuna
14-08-2022 Almeria 1 - 2 Real Madrid
20-08-2022 Celta 1 - 4 Real Madrid
28-08-2022 Espanol 1 - 3 Real Madrid
03-09-2022 Real Madrid 2 - 1 Betis
11-09-2022 Real Madrid 4 - 1 Mallorca
18-09-2022 Ath Madrid 1 - 2 Real Madrid
02-10-2022 Real Madrid ? - ? Osasuna
12-08-2022 Osasuna 2 - 1 Sevilla
19-08-2022 Sevilla 1 - 1 Valladolid
27-08-2022 Almeria 2 - 1 Sevilla
03-09-2022 Sevilla 0 - 3 Barcelona
10-09-2022 Espanol 2 - 3 Sevilla
18-09-2022 Villarreal 1 - 1 Sevilla
01-10-2022 Sevilla ? - ? Ath Madrid
14-08-2022 Cadiz 0 - 1 Sociedad
21-08-2022 Sociedad 1 - 4 Barcelona
27-08-2022 Elche 0 - 1 Sociedad
03-09-2022 Sociedad 1 - 1 Ath Madrid
11-09-2022 Getafe 2 - 1 Sociedad
18-09-2022 Sociedad 2 - 1 Espanol
02-10-2022 Girona ? - ? Sociedad
14-08-2022 Valencia 1 - 0 Girona
21-08-2022 Ath Bilbao 1 - 0 Valencia
29-08-2022 Valencia 0 - 1 Ath Madrid
04-09-2022 Valencia 5 - 1 Getafe
10-09-2022 Vallecano 2 - 1 Valencia
17-09-2022 Valencia 3 - 0 Celta
02-10-2022 Espanol ? - ? Valencia
13-08-2022 Valladolid 0 - 3 Villarreal
19-08-2022 Sevilla 1 - 1 Valladolid
28-08-2022 Barcelona 4 - 0 Valladolid
05-09-2022 Valladolid 1 - 0 Almeria
09-09-2022 Girona 2 - 1 Valladolid
16-09-2022 Valladolid 0 - 1 Cadiz
01-10-2022 Getafe ? - ? Valladolid
13-08-2022 Barcelona 0 - 0 Vallecano
19-08-2022 Espanol 0 - 2 Vallecano
27-08-2022 Vallecano 0 - 2 Mallorca
04-09-2022 Osasuna 2 - 1 Vallecano
10-09-2022 Vallecano 2 - 1 Valencia
17-09-2022 Ath Bilbao 3 - 2 Vallecano
03-10-2022 Vallecano ? - ? Elche
13-08-2022 Valladolid 0 - 3 Villarreal
21-08-2022 Ath Madrid 0 - 2 Villarreal
28-08-2022 Getafe 0 - 0 Villarreal
04-09-2022 Villarreal 4 - 0 Elche
11-09-2022 Betis 1 - 0 Villarreal
18-09-2022 Villarreal 1 - 1 Sevilla
01-10-2022 Cadiz ? - ? Villarreal
